Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
197,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
198,Antonio Barreca\Antonio-Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,7,7,593,6.6,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.4,0.6,0.02,0.07,0.09,0.02,0.09,Matches
199,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
200,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,9,5,399,4.4,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.4,0.4,0.6,1.0,0.08,0.14,0.22,0.08,0.22,Matches
201,Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,12,9,785,8.7,0,2,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,0.6,0.6,1.3,2.0,0.07,0.15,0.22,0.07,0.22,Matches
202,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,it Serie A,19,1998,22,6,601,6.7,1,2,1,0,0,0,0,0.15,0.30,0.45,0.15,0.45,3.0,3.0,0.8,3.8,0.46,0.12,0.58,0.46,0.58,Matches
203,Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,de Bundesliga,31,1987,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
204,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,27,1991,33,33,2928,32.5,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.7,0.7,0.4,1.1,0.02,0.01,0.03,0.02,0.03,Matches
205,Andrea Barzagli\Andrea-Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,7,4,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
206,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,26,1992,34,27,2379,26.4,4,1,4,0,0,5,0,0.15,0.04,0.19,0.15,0.19,2.7,2.7,3.3,6.0,0.10,0.13,0.23,0.10,0.23,Matches
